Hoyo,Par,SI,DAN_gross,DAN_stroke,DAN_net,ROB_gross,ROB_stroke,ROB_net,JUA_gross,JUA_stroke,JUA_net,LUI_gross,LUI_stroke,LUI_net
10,4,6,4,0,4,6,0.5,5.5,4,1,3,6,1,5
11,5,4,6,0,6,6,1,5,6,1,5,7,1,6
12,4,10,5,0,5,3,0,3,5,0,5,5,1,4
13,4,18,4,0,4,5,0,5,6,0,6,5,0,5
14,3,16,4,0,4,3,0,3,4,0,4,4,0,4
15,4,8,4,0,4,5,0,5,4,1,3,5,1,4
16,3,14,3,0,3,5,0,5,5,0,5,4,0,4
17,5,2,5,0,5,5,1,4,7,1,6,5,1,4
18,4,12,4,0,4,6,0,6,5,0,5,6,0,6
1,4,13,5,0,5,6,0,6,5,0,5,6,0,6
2,5,3,6,0,6,7,1,6,4,1,3,5,1,4
3,3,17,4,0,4,4,0,4,4,0,4,4,0,4
4,4,1,5,0,5,6,1,5,4,1,3,6,1,5
5,3,15,5,0,5,3,0,3,5,0,5,5,0,5
6,5,5,5,0,5,7,1,6,7,1,6,7,1,6
7,4,11,6,0,6,5,0,5,6,0,6,6,0,6
8,4,9,5,0,5,4,0,4,5,0,5,4,1,3
9,4,7,4,0,4,6,0,6,5,1,4,6,1,5
