Tarjeta de Calculos Demo
========================

Hoyo | Par | SI | DAN_gross | ROB_gross | JUA_gross | LUI_gross | DAN_stroke | ROB_stroke | JUA_stroke | LUI_stroke | DAN_net | ROB_net | JUA_net | LUI_net
-----+-----+----+-----------+-----------+-----------+-----------+------------+------------+------------+------------+---------+---------+---------+--------
10   | 4   | 6  | 4         | 5         | 5         | 6         | 0          | 0.5        | 1          | 1          | 4       | 4.5     | 4       | 5      
11   | 5   | 4  | 5         | 6         | 6         | 7         | 0          | 1          | 1          | 1          | 5       | 5       | 5       | 6      
12   | 4   | 10 | 4         | 5         | 5         | 5         | 0          | 0          | 0          | 1          | 4       | 5       | 5       | 4      
13   | 4   | 18 | 5         | 4         | 5         | 6         | 0          | 0          | 0          | 0          | 5       | 4       | 5       | 6      
14   | 3   | 16 | 3         | 4         | 4         | 5         | 0          | 0          | 0          | 0          | 3       | 4       | 4       | 5      
15   | 4   | 8  | 5         | 5         | 6         | 5         | 0          | 0          | 1          | 1          | 5       | 5       | 5       | 4      
16   | 3   | 14 | 3         | 4         | 3         | 4         | 0          | 0          | 0          | 0          | 3       | 4       | 3       | 4      
17   | 5   | 2  | 6         | 6         | 7         | 7         | 0          | 1          | 1          | 1          | 6       | 5       | 6       | 6      
18   | 4   | 12 | 4         | 5         | 5         | 6         | 0          | 0          | 0          | 0          | 4       | 5       | 5       | 6      
